,Name,top_goals
0,E. Haaland,27
1,H. Kane ,18
2,I. Toney ,14
3,M. Rashford ,14
4,Gabriel Martinelli ,11
5,Aleksandar Mitrovic ,11
6,Rodrigo ,10
7,M. Almirón ,10
8,B. Saka ,10
9,Mohamed Salah ,9
10,J. Maddison ,9
11,M. Ødegaard ,9
12,D. Ings ,8
13,P. Foden ,8
14,O. Watkins ,8
15,L. Trossard ,8
16,H. Barnes ,8
17,C. Wilson ,7
18,Roberto Firmino ,7
19,P. Groß ,6
20,J. Ward-Prowse ,6
21,Darwin Núñez ,6
22,W. Zaha ,6
23,Daniel Podence ,5
24,Gabriel Jesus ,5
25,B. Mbeumo ,5
26,B. Johnson ,5
27,A. Mac Allister ,5
28,Bruno Fernandes ,5
29,Rúben Neves ,5
30,J. Álvarez ,5
31,K. Havertz ,5
32,Son Heung-Min ,5
33,R. Bentancur ,5
34,R. Mahrez ,5
35,K. Mitoma ,5
36,S. March ,5
37,K. Moore ,4
38,E. Buendía ,4
39,K. De Bruyne ,4
40,T. Awoniyi ,4
41,P. Højbjerg ,4
42,C. Adams ,4
43,J. Sancho ,4
44,R. Sterling ,4
45,B. De Cordova-Reid ,4
46,Y. Wissa ,4
47,P. Billing ,4
48,L. Bailey ,4
49,J. Bowen ,4
50,E. Eze ,4
51,C. Summerville ,4
52,E. Nketiah ,4
53,J. Lerma ,3
54,P. Dasilva ,3
55,I. Gündogan ,3
56,G. Xhaka ,3
57,B. Mee ,3
58,M. Jensen ,3
59,L. Díaz ,3
60,D. Gray ,3
61,V. van Dijk ,3
62,Bernardo Silva ,3
63,V. Janelt ,3
64,A. Gordon ,3
65,João Palhinha ,3
66,M. Antonio ,3
67,D. Solanke ,3
68,J. Anthony ,3
69,K. Iheanacho ,3
70,P. Daka ,3
71,J. Grealish ,3
72,Y. Tielemans ,3
73,A. Isak ,3
74,Antony ,3
75,A. Martial ,3
76,G. Scamacca ,3
77,O. Edouard ,3
78,Bruno Guimarães ,3
79,M. Mount ,3
80,Willian ,3
81,S. Benrahma ,3
82,M. Tavernier ,3
83,C. Wood ,3
84,E. Ferguson ,3
85,M. Solomon ,3
86,Jorginho ,2
87,E. Dier ,2
88,Ryan Sessegnon ,2
89,K. Dewsbury-Hall ,2
90,D. Kulusevski ,2
91,J. Ayodele-Aribo ,2
92,K. Koulibaly ,2
93,W. Saliba ,2
94,Fábio Carvalho ,2
95,Gabriel Magalhães ,2
96,L. Sinisterra ,2
97,João Cancelo ,2
98,Douglas Luiz ,2
99,H. Reed ,2
100,J. Ramsey ,2
101,T. Partey ,2
102,D. McNeil ,2
103,Andreas Pereira ,2
104,P. Struijk ,2
105,D. Rice ,2
106,R. Perraud ,2
107,Fred ,2
108,Casemiro ,2
109,B. Davies ,2
110,Joelinton ,2
111,R. Nelson ,2
112,A. Lallana ,2
113,M. Gibbs-White ,2
114,Joe Willock ,2
115,M. Olise ,2
116,A. Garnacho Ferreyra ,2
117,Rodri ,2
118,Lucas Paquetá ,2
119,W. Gnonto ,2
120,Emerson Royal ,2
121,C. Gakpo ,2
122,F. Schär ,1
123,T. Castagne ,1
124,K. Walker-Peters ,1
125,R. James ,1
126,C. Nørgaard ,1
127,J. Mateta ,1
128,J. Harrison ,1
129,B. Aaronson ,1
130,K. Trippier ,1
131,T. Alexander-Arnold ,1
132,J. Andersen ,1
133,H. Elliott ,1
134,A. Saint-Maximin ,1
135,P. Fornals ,1
136,Adam Armstrong ,1
137,R. Lavia ,1
138,T. Soucek ,1
139,C. Kouyaté ,1
140,B. Chilwell ,1
141,M. Roca ,1
142,M. Caicedo ,1
143,O. Adarabioyo ,1
144,L. O'Brien ,1
145,Fábio Vieira ,1
146,N. Maupay ,1
147,C. Coady ,1
148,Sean Longstaff ,1
149,C. Gallagher ,1
150,P. Aubameyang ,1
151,J. Murphy ,1
152,R. Christie ,1
153,C. Pulisic ,1
154,A. Broja ,1
155,Cristiano Ronaldo ,1
156,A. Iwobi ,1
157,A. Young ,1
158,E. Dennis ,1
159,I. Diop ,1
160,A. Traoré ,1
161,D. Calvert-Lewin ,1
162,Stuart Armstrong ,1
163,J. Vardy ,1
164,K. Zouma ,1
165,L. Cooper ,1
166,S. Greenwood ,1
167,Gonçalo Guedes ,1
168,L. Digne ,1
169,C. Eriksen ,1
170,D. James ,1
171,T. Ream ,1
172,Y. Mina ,1
173,R. Ait Nouri ,1
174,S. Bajcetic ,1
175,J. Ayew ,1
176,S. Aurier ,1
177,A. Oxlade-Chamberlain ,1
178,L. Shaw ,1
179,M. Doherty ,1
180,Carlos Vinícius ,1
181,P. Bamford ,1
182,A. Mvom Onana ,1
183,D. Welbeck ,1
184,M. Albrighton ,1
185,S. Surridge ,1
186,L. Martínez ,1
187,J. Tarkowski ,1
188,C. Dawson ,1
189,D. Praet ,1
190,Tetê ,1
191,J. Schlupp ,1
192,Emerson ,1
193,João Félix ,1
194,J. Tomkins ,1
195,N. Mendy ,1
196,João Gomes ,1
197,C. Alcaraz ,1
198,M. Senesi ,1
199,Philippe Coutinho ,1
200,O. Zinchenko ,1
201,S. Coleman ,1
202,P. Sarabia ,1
203,J. Firpo ,1
204,O. Skipp ,1
